ID,fold_change,neglogp,padj,input,count
agilent_1008,13.778,12.31,0,1725,443
agilent_100916,83.458,7.225,0.018,27,42
agilent_101,11.037,10.526,0,909,187
agilent_102644,29508.282,10.141,0,0.1,55
agilent_103113,35.936,10.167,0,106,71
agilent_104802,22.59,9.795,0,209,88
agilent_106304,144.188,7.678,0.006,16,43
agilent_107546,16.855,7.352,0.014,226,71
agilent_1088,9.391,7.64,0.007,737,129
agilent_10960,10.705,10.641,0,1288,257
agilent_112066,89.419,9.147,0,33,55
agilent_112246,7.598,7.314,0.015,1271,180
agilent_11266,14.307,8.502,0.001,405,108
agilent_1147,13.925,8.062,0.003,393,102
agilent_1148,13.254,9.572,0,591,146
agilent_11947,17.37,1000,0,800,259
agilent_11948,12.286,12.329,0,1083,248
agilent_11949,15.76,7.987,0.003,320,94
agilent_12000,804.771,8.427,0.001,3,45
agilent_12001,420.269,8.64,0.001,6,47
agilent_12006,31.392,7.984,0.003,94,55
agilent_12015,69.634,1000,0,1091,1416
agilent_12016,64.668,1000,0,2099,2530
agilent_12017,54.593,1000,0,342,348
agilent_12018,225.336,15.955,0,75,315
agilent_12019,175.52,15.176,0,221,723
agilent_12020,154.642,15.955,0,374,1078
agilent_12021,69.451,15,0,489,633
agilent_12022,24.99,14.593,0,380,177
agilent_12023,70.114,15.256,0,541,707
agilent_12024,385.028,15.955,0,17,122
agilent_122703,32.935,8.917,0,101,62
agilent_125500,61.248,15.654,0,113,129
agilent_128148,15.435,1000,0,1512,435
agilent_129495,61.167,15.109,0,257,293
agilent_130807,14.384,10.647,0,608,163
agilent_132331,21997.083,7.894,0.004,0.1,41
agilent_133222,128.763,1000,0,120,288
agilent_134623,42.551,7.214,0.019,58,46
agilent_135148,31.887,14.184,0,212,126
agilent_135255,16.252,7.626,0.007,274,83
agilent_135283,12.013,7.604,0.008,460,103
agilent_135454,14.959,8.391,0.001,373,104
agilent_135915,74.31,15.109,0,174,241
agilent_137474,122.17,15.654,0,83,189
agilent_138817,73.615,9.551,0,43,59
agilent_13910,33.301,10.112,0,116,72
agilent_142983,108.292,15.654,0,217,438
agilent_14429,12.679,8.052,0.003,457,108
agilent_148358,22533.597,8.056,0.003,0.1,42
agilent_149903,121.422,7.593,0.008,19,43
agilent_149908,44.71,15.109,0,174,145
agilent_150244,221.759,10.728,0,15,62
agilent_150541,21.424,10.626,0,293,117
agilent_150745,2521.617,8.826,0,1,47
agilent_158178,18.539,1000,0,819,283
agilent_159126,8.366,6.972,0.033,776,121
agilent_160981,8.254,7.695,0.006,936,144
agilent_161715,19.577,13.604,0,507,185
agilent_164290,16.134,9.955,0,419,126
agilent_165182,670.643,9.192,0,4,50
agilent_16662,54.899,7.187,0.02,43,44
agilent_167652,27.371,1000,0,1082,552
agilent_168693,23070.111,8.218,0.002,0.1,43
agilent_170008,152.7,6.796,0.049,13,37
agilent_171770,14.342,10.592,0,606,162
agilent_174704,38.739,1000,0,975,704
agilent_178091,27898.739,9.663,0,0.1,52
agilent_1793,25.278,6.91,0.038,104,49
agilent_180309,14.284,6.997,0.031,308,82
agilent_181754,29.313,1000,0,399,218
agilent_182676,39.292,14.841,0,411,301
agilent_182970,19.125,14.875,0,836,298
agilent_183695,15.115,8.851,0,394,111
agilent_184189,24.083,14.778,0,401,180
agilent_187984,23.118,7.19,0.02,123,53
agilent_188869,35.955,14.955,0,191,128
agilent_190952,19314.512,7.078,0.026,0.1,36
agilent_191430,12.918,8.263,0.002,461,111
agilent_192153,9.619,8.99,0,898,161
agilent_192564,105.685,1000,0,199,392
agilent_193182,57.887,6.814,0.047,38,41
agilent_19497,92.671,9.462,0,33,57
agilent_195846,63.406,8.431,0.001,44,52
agilent_196127,31.825,15.654,0,440,261
agilent_199911,15.826,10.544,0,478,141
agilent_200370,445.862,15.955,0,29,241
agilent_200650,53.258,15.955,0,409,406
agilent_200788,96.008,15.654,0,114,204
agilent_200789,113.584,1000,0,205,434
agilent_200833,77.585,15.955,0,269,389
agilent_202650,20.656,12.268,0,387,149
agilent_204343,58.492,15.654,0,133,145
agilent_205570,38.18,1000,0,912,649
agilent_206025,72.353,15.256,0,175,236
agilent_206026,68.41,15.955,0,309,394
