ID,fold_change,neglogp,padj,input,count
agilent_100182,191.888,15.955,0,109,388
agilent_100197,60.196,7.823,0.004,60,67
agilent_100204,115.249,8.126,0.002,29,62
agilent_10025,36.333,1000,0,546,368
agilent_100632,129.233,1000,0,151,362
agilent_100635,34.539,8.911,0,167,107
agilent_100739,24.503,12.336,0,561,255
agilent_100813,21.556,1000,0,1523,609
agilent_101042,42.526,7.49,0.009,90,71
agilent_101189,54.645,8.232,0.002,73,74
agilent_101535,79.577,7.747,0.005,42,62
agilent_101546,30.483,7.919,0.003,168,95
agilent_102111,73.243,12.799,0,92,125
agilent_102531,145.052,15.256,0,152,409
agilent_102681,41.223,6.993,0.029,85,65
agilent_102734,93.596,15.109,0,182,316
agilent_102941,11.869,7.482,0.009,763,168
agilent_103048,345.902,10.525,0,12,77
agilent_103168,64.192,15,0,152,181
agilent_103473,20.903,7.326,0.013,294,114
agilent_103668,15.402,13.639,0,1386,396
agilent_103799,12.67,7.505,0.009,702,165
agilent_104040,82.446,9.301,0,51,78
agilent_104162,39.581,14.808,0,365,268
agilent_104741,25.008,10.269,0,388,180
agilent_104762,43.259,7.085,0.023,81,65
agilent_104825,22.814,7.967,0.003,293,124
agilent_105317,4215.508,1000,0,5,391
agilent_105430,90.843,15.109,0,216,364
agilent_105457,153.532,15.477,0,158,450
agilent_10628,21.515,9.736,0,456,182
agilent_106899,92.036,8.699,0.001,41,70
agilent_107019,57.941,13.669,0,147,158
agilent_107151,71.256,11.998,0,87,115
agilent_107481,60.22,12.002,0,111,124
agilent_107529,384.726,15.955,0,263,1877
agilent_107854,204.439,1000,0,53,201
agilent_108108,66.26,7.24,0.016,48,59
agilent_108156,31.893,15.256,0,502,297
agilent_108174,114.637,1000,0,79,168
agilent_108346,26.23,9.217,0,298,145
agilent_10838,55.913,1000,0,215,223
agilent_108508,15.279,8.335,0.001,628,178
agilent_108963,25.214,9.065,0,310,145
agilent_109070,33.859,7.267,0.015,121,76
agilent_109481,55.127,15.109,0,265,271
agilent_10959,79.259,15.477,0,202,297
agilent_10960,75.294,15.955,0,1288,1799
agilent_10970,82.208,7.686,0.006,40,61
agilent_109931,112.196,15.477,0,492,1024
agilent_110011,65.517,8.99,0,65,79
agilent_110313,16.587,8.405,0.001,559,172
agilent_110645,28.309,7.623,0.007,179,94
agilent_110974,20.636,12.959,0,768,294
agilent_111331,47.074,10.982,0,142,124
agilent_111385,81.317,15.955,0,118,178
agilent_112191,30.547,7.455,0.01,150,85
agilent_11266,37.801,1000,0,405,284
agilent_11270,23.74,8.423,0.001,302,133
agilent_11271,21.883,9.234,0,404,164
agilent_112839,474.008,15.353,0,203,1785
agilent_113349,71.908,1000,0,554,739
agilent_113793,47.456,9.864,0,117,103
agilent_113980,45.259,12.289,0,187,157
agilent_114216,50.273,8.728,0.001,89,83
agilent_114509,42.302,9.986,0,144,113
agilent_115120,34.582,1000,0,954,612
agilent_115471,35.435,12.075,0,286,188
agilent_115562,45.131,7.689,0.006,86,72
agilent_115757,23.367,14.122,0,729,316
agilent_115908,22.167,8.152,0.002,321,132
agilent_116633,14.291,8.685,0.001,728,193
agilent_117585,1757.36,1000,0,5,163
agilent_118283,20.422,7.147,0.02,293,111
agilent_118554,13.875,12.321,0,1387,357
agilent_118569,15.747,13.981,0,1407,411
agilent_118829,40.151,9.532,0,145,108
agilent_118836,32.968,7.082,0.023,121,74
agilent_119064,37.516,9.031,0,148,103
agilent_119101,29.3,11.816,0,379,206
agilent_11947,18.059,11.721,0,800,268
agilent_11948,8.611,6.869,0.038,1083,173
agilent_11949,21.226,7.798,0.005,320,126
agilent_119791,24.949,9.84,0,363,168
agilent_12000,2353.928,1000,0,3,131
agilent_12001,1958.612,1000,0,6,218
agilent_12004,20.397,9.882,0,518,196
agilent_12005,39.995,7.217,0.017,93,69
agilent_12006,77.419,13.692,0,94,135
agilent_12009,12.752,7.886,0.004,744,176
agilent_12011,92.007,1000,0,590,1007
agilent_12012,84.711,1000,0,196,308
agilent_12013,102.913,15.955,0,154,294
agilent_12015,534.818,15.654,0,1091,10824
agilent_12016,393.912,14.699,0,2099,15338
agilent_12017,499.662,15.654,0,342,3170
agilent_12018,308.347,1000,0,75,429
agilent_12019,263.436,15.955,0,221,1080
agilent_12020,182.188,15.353,0,374,1264
agilent_12024,1040.083,15.955,0,17,328
agilent_120490,40.017,1000,0,555,412
agilent_120598,36.783,1000,0,425,290
agilent_121088,15.834,7.109,0.022,446,131
agilent_121630,59.216,13.128,0,132,145
agilent_12172,10.13,7.845,0.004,1027,193
agilent_121773,27.846,9.842,0,302,156
agilent_122149,26.572,10.291,0,353,174
agilent_12295,306.565,1000,0,115,654
agilent_122987,96.193,15.353,0,167,298
agilent_123307,97.578,15.109,0,79,143
agilent_124920,35.578,6.762,0.049,100,66
agilent_124922,67.95,15.654,0,357,450
agilent_125283,19.463,13.523,0,878,317
agilent_125611,35.938,13.543,0,342,228
agilent_126923,447.426,11.337,0,10,83
agilent_12734,77.83,1000,0,685,989
agilent_127557,31.279,7.961,0.003,162,94
agilent_128229,18.679,6.986,0.029,329,114
agilent_128532,17.053,12.453,0,942,298
agilent_129495,254.641,15.477,0,257,1214
agilent_130361,30.451,6.875,0.038,131,74
agilent_130783,21.274,6.997,0.029,261,103
agilent_130807,23.584,12.476,0,608,266
agilent_130938,64.619,1000,0,312,374
agilent_131539,42.916,8.26,0.002,103,82
agilent_131603,63.49,10.997,0,90,106
agilent_131717,46.344,15.353,0,613,527
agilent_132483,32.651,10.31,0,246,149
agilent_132593,82.933,7.598,0.007,39,60
agilent_132876,49.938,15.256,0,326,302
agilent_132963,8.935,7.138,0.021,1086,180
agilent_133041,29.864,8.787,0,213,118
agilent_133222,422.719,15.654,0,120,941
agilent_133411,42.188,9.719,0,138,108
agilent_133731,16.128,7.602,0.007,488,146
agilent_133832,23.636,7.743,0.005,260,114
agilent_134048,238.127,1000,0,115,508
agilent_13416,27.579,15.654,0,991,507
agilent_134270,26.811,7.439,0.01,189,94
agilent_134281,18.969,11.363,0,719,253
agilent_134356,37.041,1000,0,505,347
agilent_134531,63.354,11.543,0,97,114
agilent_135148,406.335,15.955,0,212,1598
agilent_135186,235.823,15.353,0,702,3071
agilent_136076,106.851,15.955,0,168,333
agilent_13612,49.228,15.051,0,265,242
agilent_136418,21.231,7.87,0.004,325,128
agilent_136654,60375.563,15.353,0,0.1,112
agilent_137285,56.515,15.256,0,372,390
agilent_137425,38.424,1000,0,477,340
agilent_137474,322.142,1000,0,83,496
agilent_137743,39.908,12.832,0,258,191
agilent_138817,144.169,13.717,0,43,115
agilent_139400,107.814,7.012,0.028,26,52
agilent_139727,115.9,15.654,0,100,215
agilent_140151,41.4,9.003,0,125,96
agilent_140355,23.465,7.612,0.007,255,111
agilent_141601,90.056,14.75,0,85,142
agilent_141636,88.846,15.109,0,216,356
agilent_141768,42.792,11.867,0,194,154
agilent_141821,15.783,9.371,0,707,207
agilent_141837,184.865,15.353,0,184,631
agilent_142112,33.93,8.843,0,170,107
agilent_14228,41.097,7.822,0.004,101,77
agilent_142648,74.524,15.176,0,285,394
agilent_142983,185.32,15.654,0,217,746
agilent_143555,101.824,6.862,0.039,27,51
agilent_144318,38.89,9.059,0,140,101
agilent_144337,49.682,14.841,0,689,635
agilent_144602,27.986,8.671,0.001,235,122
agilent_145493,22.433,8.262,0.002,322,134
agilent_145499,27.816,8.896,0,250,129
agilent_145547,34.865,9.913,0,201,130
agilent_146060,20.804,10.157,0,526,203
agilent_146235,57.964,15.109,0,186,200
agilent_146665,19.421,8.554,0.001,433,156
