ID,fold_change,neglogp,padj,input,count
agilent_101815,13.218,13.411,0,1269,288
agilent_102225,2.154,7.026,0.028,8111,300
agilent_103272,82.222,1000,0,119,168
agilent_103585,53.55,13.392,0,149,137
agilent_103801,99.435,9.815,0,41,70
agilent_104204,419.332,1000,0,45,324
agilent_104329,61.432,9.616,0,73,77
agilent_105,30.317,11.089,0,292,152
agilent_105317,3412.897,1000,0,5,293
agilent_105417,95.574,9.079,0,39,64
agilent_106208,25.784,7.429,0.011,192,85
agilent_107529,378.231,1000,0,263,1708
agilent_108088,77.553,15.353,0,193,257
agilent_108274,74.494,7.737,0.005,43,55
agilent_108423,14.878,7.176,0.02,458,117
agilent_109249,20.933,7.443,0.011,281,101
agilent_10959,37.482,11.133,0,202,130
agilent_10960,23.92,14.875,0,1288,529
agilent_109648,15.668,10.108,0,762,205
agilent_110012,37.101,12.943,0,270,172
agilent_11048,64.537,10.192,0,74,82
agilent_110645,48.805,13.548,0,179,150
agilent_112066,227.668,15.955,0,33,129
agilent_11266,49.9,15.654,0,405,347
agilent_11279,25.805,10.099,0,325,144
agilent_112839,191.075,15.256,0,203,666
agilent_113791,29.014,14.955,0,548,273
agilent_114274,29.67,9.042,0,212,108
agilent_114932,800.808,1000,0,16,220
agilent_1167,26.123,13.717,0,544,244
agilent_1173,87.546,1000,0,628,944
agilent_118111,14.183,15.353,0,1388,338
agilent_119064,47.222,11.782,0,148,120
agilent_119265,15.712,1000,0,1479,399
agilent_11947,65.375,1000,0,800,898
agilent_11948,41.839,15.109,0,1083,778
agilent_11949,51.871,15.477,0,320,285
agilent_119786,68.018,15.654,0,137,160
agilent_12000,3339.126,15.955,0,3,172
agilent_12001,1786.044,1000,0,6,184
agilent_12004,18.776,9.645,0,518,167
agilent_12006,47.708,8.955,0,94,77
agilent_12011,197.13,15.256,0,590,1997
agilent_12012,144.71,15.256,0,196,487
agilent_12013,247.711,15.955,0,154,655
agilent_12015,241.877,1000,0,1091,4531
agilent_12016,203.301,1000,0,2099,7327
agilent_12017,252.716,15.955,0,342,1484
agilent_12018,339.348,15.353,0,75,437
agilent_12019,254.572,15.353,0,221,966
agilent_12020,197.769,15.109,0,374,1270
agilent_12024,1305.274,1000,0,17,381
agilent_120967,58.926,10.293,0,85,86
agilent_122789,59.326,15.353,0,161,164
agilent_12343,15.169,10.601,0,837,218
agilent_123600,38.143,9.297,0,142,93
agilent_123952,87.61,15.654,0,117,176
agilent_12489,4.779,8.211,0.002,2474,203
agilent_12491,3.21,7.754,0.005,4100,226
agilent_125065,21.718,14.955,0,1306,487
agilent_12509,10.527,15.477,0,2058,372
agilent_12510,12.244,1000,0,1622,341
agilent_12511,27.362,11.937,0,381,179
agilent_12513,9.638,9.736,0,1275,211
agilent_12530,33.803,1000,0,684,397
agilent_125546,31.554,15.477,0,718,389
agilent_127557,68.666,15.176,0,162,191
agilent_128883,30.305,12.336,0,344,179
agilent_128983,23296.226,7.065,0.025,0.1,40
agilent_129495,179.481,1000,0,257,792
agilent_129884,497.957,15.955,0,40,342
agilent_130148,35.64,8.392,0.001,134,82
agilent_13153,17.59,12.354,0,841,254
agilent_131700,29.12,6.904,0.037,136,68
agilent_131885,12.025,9.438,0,959,198
agilent_132451,66.111,10.436,0,74,84
agilent_133222,312.072,15.477,0,120,643
agilent_133306,61.848,1000,0,226,240
agilent_133638,27955.471,8.265,0.002,0.1,48
agilent_134048,118,15.654,0,115,233
agilent_135148,233.786,15.353,0,212,851
agilent_135255,39.323,13.827,0,274,185
agilent_135681,13.256,6.849,0.042,536,122
agilent_135849,107.228,15.477,0,107,197
agilent_1363,281.496,9.227,0,12,58
agilent_137474,196.474,1000,0,83,280
agilent_137817,51.212,6.782,0.048,58,51
agilent_1379,14.531,7.312,0.014,501,125
agilent_138817,205.874,15.955,0,43,152
agilent_13970,6.142,8.348,0.001,1830,193
agilent_139744,42.467,12.264,0,192,140
agilent_140979,35.395,9.9,0,181,110
agilent_14131,22.486,1000,0,1093,422
agilent_1414,103.596,15.477,0,113,201
agilent_142983,61.193,15.353,0,217,228
agilent_143555,131.581,9.087,0,27,61
agilent_143594,51.689,8.667,0.001,80,71
agilent_143609,14.273,6.865,0.04,457,112
agilent_145511,23.296,7.754,0.005,250,100
agilent_146603,17.651,13.778,0,947,287
agilent_14671,8.985,7.759,0.005,1076,166
agilent_14696,67.402,15.477,0,178,206
agilent_14698,17.155,7.717,0.006,404,119
agilent_14708,80.308,1000,0,1573,2169
agilent_14709,39.279,15.654,0,516,348
agilent_14713,9.65,12.622,0,1708,283
agilent_14725,19.953,9.398,0,432,148
agilent_147318,37.221,12.875,0,266,170
agilent_147336,83.429,1000,0,874,1252
agilent_148358,31449.905,9.156,0,0.1,54
agilent_148372,42515.612,11.941,0,0.1,73
agilent_149387,23.701,14.574,0,720,293
agilent_149688,38.699,9.813,0,152,101
agilent_149903,134.873,6.953,0.033,19,44
agilent_149908,103.427,1000,0,174,309
agilent_150244,174.722,7.234,0.017,15,45
agilent_150371,170.345,15.654,0,173,506
agilent_150745,3144.99,9.114,0,1,54
agilent_150795,93184.903,1000,0,0.1,160
agilent_151982,39.279,9.041,0,129,87
agilent_152350,89.22,9.867,0,47,72
agilent_152547,6.419,8.872,0,1860,205
agilent_152556,29.629,13.369,0,401,204
agilent_15288,14.969,7.52,0.009,498,128
agilent_153298,933.669,1000,0,32,513
agilent_154819,40.768,8.496,0.001,110,77
agilent_156689,22.885,11.414,0,481,189
agilent_157548,25.215,8.613,0.001,261,113
agilent_158021,23.689,11.374,0,445,181
agilent_159126,18.088,11.855,0,776,241
agilent_159974,88.893,15.477,0,95,145
agilent_161014,23296.226,7.065,0.025,0.1,40
agilent_16107,84.791,15.955,0,204,297
agilent_16154,94.364,15.256,0,79,128
agilent_161732,15.23,13.704,0,1109,290
agilent_16209,68.098,1000,0,709,829
agilent_163054,47.417,10.047,0,113,92
agilent_163523,39.18,10.409,0,165,111
agilent_164364,349.443,7.932,0.003,8,48
agilent_164398,36691.556,10.481,0,0.1,63
agilent_164433,239.682,15.477,0,26,107
agilent_166420,41.838,13.787,0,245,176
agilent_166869,77.426,14.913,0,340,452
agilent_167363,47.42,13.328,0,183,149
agilent_168693,41350.801,11.65,0,0.1,71
agilent_16932,13.424,12.24,0,1128,260
agilent_169663,128.915,15.654,0,89,197
agilent_169742,50.677,8.27,0.002,77,67
agilent_170380,12.556,6.855,0.041,603,130
agilent_170998,13.172,1000,0,1406,318
agilent_171267,27.807,9.613,0,266,127
agilent_171770,24.603,13.574,0,606,256
agilent_172415,118.78,1000,0,76,155
agilent_17370,83.486,1000,0,263,377
agilent_174220,27.934,8.704,0.001,221,106
agilent_174704,23.714,14.808,0,975,397
agilent_175056,35.413,10.433,0,199,121
agilent_176652,61.825,8.881,0,65,69
agilent_179201,39.05,13.357,0,261,175
agilent_179435,90.426,8.435,0.001,38,59
agilent_180309,464.601,1000,0,308,2457
agilent_181460,23.363,12.1,0,526,211
agilent_182349,44.374,8.971,0,105,80
agilent_182676,529.833,15.955,0,411,3739
agilent_183695,67.701,15.955,0,394,458
agilent_184042,62.721,13.541,0,117,126
agilent_184548,18.2,8.148,0.002,400,125
agilent_184882,43.436,15.654,0,417,311
agilent_185324,7.205,8.601,0.001,1560,193
agilent_18547,34.338,14.041,0,346,204
agilent_185712,11.097,7.106,0.023,761,145
agilent_188441,144.251,1000,0,151,374
agilent_188571,14.282,7.636,0.007,575,141
agilent_188869,59.46,15.477,0,191,195
agilent_189058,137.388,15.176,0,195,460
agilent_189871,65.521,7.454,0.01,48,54
agilent_19006,23.251,7.879,0.004,258,103
agilent_192153,18.743,13.972,0,898,289
agilent_192425,43.449,12.438,0,189,141
agilent_192564,359.687,1000,0,199,1229
agilent_193089,44.961,1000,0,671,518
agilent_193153,23.037,12.475,0,584,231
agilent_193511,400.99,15.654,0,261,1797
agilent_19497,125.305,10.243,0,33,71
agilent_196127,270.686,15,0,440,2045
agilent_196485,101338.582,1000,0,0.1,174
agilent_196921,40.149,15.955,0,367,253
agilent_197180,34.944,7.888,0.004,125,75
agilent_198657,17.649,10.238,0,660,200
agilent_19914,94.81,9.744,0,43,70
agilent_199155,26.738,11.621,0,379,174
agilent_199239,30.797,13.458,0,382,202
agilent_199435,12.746,7.343,0.013,658,144
agilent_199494,8.327,7.555,0.008,1140,163
agilent_200370,506.09,15.955,0,29,252
agilent_200496,36.94,11.38,0,216,137
agilent_200616,92.908,9.379,0,42,67
agilent_200650,79.031,1000,0,409,555
agilent_200788,315.725,15.477,0,114,618
agilent_200789,268.191,15.654,0,205,944
agilent_200833,137.049,14.955,0,269,633
agilent_202092,60.019,13.894,0,131,135
agilent_202462,71.527,15.477,0,320,393
agilent_202691,56.911,15.051,0,219,214
agilent_203103,416.784,1000,0,32,229
agilent_203123,59.707,1000,0,278,285
agilent_204624,249.029,15.955,0,29,124
agilent_205302,38.738,11.992,0,218,145
agilent_205526,29.455,8.051,0.003,174,88
agilent_205570,86.722,1000,0,912,1358
agilent_205930,27.546,10.155,0,296,140
agilent_206025,187.035,1000,0,175,562
agilent_206026,65.78,15,0,309,349
agilent_206029,82.267,15.477,0,383,541
agilent_206701,20.158,1000,0,991,343
agilent_207121,22.88,8.133,0.002,280,110
agilent_207329,341.501,1000,0,22,129
agilent_207681,528.824,15.955,0,100,908
agilent_207931,18.457,9.856,0,568,180
agilent_208011,10.877,7.624,0.007,846,158
agilent_208444,26.386,12.371,0,426,193
agilent_209329,17.397,1000,0,1473,440
agilent_210454,72.801,8.782,0,52,65
agilent_210530,7.897,12.172,0,2087,283
agilent_210783,10.201,7.128,0.022,845,148
agilent_211380,15.843,8.137,0.002,522,142
agilent_211384,17.192,8.121,0.002,437,129
agilent_211386,1432.718,1000,0,5,123
agilent_211390,22.995,8.693,0.001,309,122
agilent_211392,19.641,7.901,0.004,341,115
agilent_211394,21.534,8.958,0,357,132
agilent_211399,43.68,9.414,0,116,87
agilent_211400,11.232,7.831,0.004,840,162
agilent_211402,36.228,8.259,0.002,127,79
agilent_211405,61.182,11.859,0,99,104
agilent_212061,237.442,8.467,0.001,13,53
agilent_212,27.156,14.01,0,519,242
agilent_214925,65.313,15.256,0,140,157
agilent_21513,13.461,13.925,0,1298,300
agilent_21712,10.382,12.729,0,1582,282
agilent_217774,41.055,11.551,0,183,129
agilent_217792,301.931,15.955,0,38,197
agilent_218197,198.018,15.955,0,35,119
agilent_219818,31.453,15.109,0,674,364
agilent_219934,214.791,15.477,0,250,922
agilent_219988,38.492,10.534,0,174,115
agilent_220184,34.756,7.806,0.005,124,74
agilent_220388,42.157,15.477,0,478,346
agilent_220657,14.731,9.549,0,767,194
agilent_220720,22.037,8.746,0.001,333,126
agilent_220721,40.851,1000,0,422,296
agilent_221016,31.58,13.436,0,367,199
agilent_221096,299.632,1000,0,76,391
agilent_221241,5.574,1000,0,4608,441
agilent_221331,40.283,8.87,0,120,83
agilent_221476,42.21,1000,0,505,366
agilent_221971,3.8,12.013,0,6054,395
agilent_222104,67.947,6.954,0.033,42,49
agilent_222335,198.018,8.103,0.002,15,51
agilent_223034,119.976,13.77,0,50,103
agilent_223056,22.02,15.955,0,931,352
agilent_223641,90.273,12.078,0,60,93
agilent_223687,15.146,1000,0,1715,446
agilent_223729,43.797,1000,0,375,282
agilent_224028,19.693,6.945,0.033,278,94
agilent_224194,132.609,1000,0,65,148
agilent_224314,41.733,15.353,0,314,225
agilent_225491,21.11,12.73,0,698,253
agilent_225542,14.1,1000,0,1392,337
agilent_225880,53.697,13.01,0,141,130
agilent_225940,14.56,6.827,0.044,436,109
agilent_226184,36.005,15.955,0,791,489
agilent_226611,29.376,1000,0,912,460
agilent_226780,34.643,7.464,0.01,116,69
agilent_226835,52.12,15.477,0,314,281
agilent_227392,37.247,1000,0,688,440
agilent_227405,15.968,14.875,0,1127,309
agilent_227745,107.817,15.256,0,242,448
agilent_228585,24.78,10.567,0,369,157
agilent_230499,59.11,8.693,0.001,67,68
agilent_230777,146.11,1000,0,745,1869
agilent_230820,188.425,15.477,0,34,110
agilent_231419,291.47,1000,0,436,2182
agilent_231437,19.614,9.791,0,484,163
agilent_231547,13.333,6.947,0.033,546,125
agilent_233880,49.517,15.353,0,474,403
agilent_234119,223.255,15.955,0,36,138
agilent_235082,34.851,1000,0,1377,824
agilent_235189,23.826,7.388,0.012,220,90
agilent_235339,28.46,12.766,0,397,194
agilent_235465,29.12,12.504,0,372,186
agilent_235737,38.063,8.678,0.001,127,83
agilent_235855,20.279,10.001,0,471,164
agilent_23664,18.186,9.245,0,506,158
agilent_23665,7.236,7.402,0.012,1312,163
agilent_236695,250.514,1000,0,73,314
agilent_236749,6.016,9.925,0,2304,238
agilent_236818,17.267,9.673,0,624,185
agilent_236864,52.39,15.109,0,647,582
agilent_237188,44.8,15.256,0,364,280
agilent_237349,71.815,15.955,0,133,164
agilent_237610,44.111,11.871,0,169,128
agilent_237631,94.002,12.072,0,57,92
