ID,fold_change,neglogp,padj,input,count
agilent_107529,47.353,15.109,0,263,211
agilent_108497,177.068,6.978,0.032,10,30
agilent_112839,35.181,15.176,0,203,121
agilent_11947,29.954,15.353,0,800,406
agilent_11948,19.892,1000,0,1083,365
agilent_11949,28.22,1000,0,320,153
agilent_12001,363.972,8.554,0.001,6,37
agilent_12011,15.306,13.981,0,590,153
agilent_12015,18.123,1000,0,1091,335
agilent_12017,15.705,10.211,0,342,91
agilent_12024,236.09,14.386,0,17,68
agilent_121218,18.355,11.808,0,328,102
agilent_129495,28.248,15.353,0,257,123
agilent_132150,30.794,8.775,0.001,92,48
agilent_132331,17116.532,7.133,0.022,0.1,29
agilent_133222,49.677,15.477,0,120,101
agilent_137268,62.957,6.828,0.045,30,32
agilent_146691,16526.307,6.925,0.036,0.1,28
agilent_147336,8.104,9.05,0,874,120
agilent_149878,914.849,7.472,0.01,2,31
agilent_15071,2301.878,9.153,0,1,39
agilent_150745,2183.833,8.745,0.001,1,37
agilent_153298,106.978,11.994,0,32,58
agilent_160054,1652.631,6.888,0.039,1,28
agilent_160945,8.731,7.915,0.004,676,100
agilent_161014,25379.685,10.002,0,0.1,43
agilent_165111,354.135,7.151,0.021,5,30
agilent_165182,472.18,7.602,0.008,4,32
agilent_166560,20.431,7.517,0.009,130,45
agilent_168736,29.511,6.782,0.05,72,36
agilent_17096,23.791,1000,0,779,314
agilent_178091,16526.307,6.925,0.036,0.1,28
agilent_178608,342.331,6.944,0.034,5,29
agilent_180309,13.031,7.647,0.007,308,68
agilent_181952,22.052,10.416,0,182,68
agilent_181953,12.386,8.53,0.001,386,81
agilent_182676,23.552,1000,0,411,164
agilent_183854,126.477,6.852,0.042,14,30
agilent_189282,76.511,7.514,0.009,27,35
agilent_192564,31.143,15.654,0,199,105
agilent_19497,128.776,14.724,0,33,72
agilent_197005,1770.676,7.304,0.015,1,30
agilent_200141,40.596,15.176,0,205,141
agilent_200957,21838.334,8.782,0,0.1,37
agilent_204565,22.133,7.697,0.006,120,45
agilent_205647,13.676,7.145,0.022,246,57
agilent_207681,31.282,9.59,0,100,53
agilent_22084,28.809,7.556,0.008,84,41
agilent_221096,39.607,9.66,0,76,51
agilent_223646,32.194,14.02,0,154,84
agilent_225394,24199.235,9.597,0,0.1,41
agilent_225554,550.877,6.81,0.047,3,28
agilent_225587,169.198,9.471,0,15,43
agilent_233907,7.45,7.636,0.007,816,103
agilent_235895,121.324,8.166,0.002,18,37
agilent_236864,11.677,10.852,0,647,128
agilent_241343,32.213,1000,0,579,316
agilent_243736,17.512,8.048,0.003,182,54
agilent_26911,15.232,14.654,0,651,168
agilent_31141,62.83,7.007,0.03,31,33
agilent_31584,149.524,8.458,0.001,15,38
agilent_3437,11.236,8.048,0.003,415,79
agilent_3616,37.801,10.574,0,89,57
agilent_38555,27740.586,10.81,0,0.1,47
agilent_3950,218.127,1000,0,23,85
agilent_46206,17706.757,7.341,0.014,0.1,30
agilent_4722,17.541,9.567,0,249,74
agilent_52631,7.49,8.557,0.001,922,117
agilent_53727,18.55,8.378,0.001,175,55
agilent_5511,18.923,6.941,0.035,131,42
agilent_55193,39.348,7.797,0.005,60,40
agilent_560,17.092,14.477,0,480,139
agilent_58668,17116.532,7.133,0.022,0.1,29
agilent_61084,16.832,9.513,0,270,77
agilent_65768,16526.307,6.925,0.036,0.1,28
agilent_66572,2715.036,10.571,0,1,46
agilent_70541,22.133,6.829,0.045,104,39
agilent_7108,12.117,6.931,0.035,302,62
agilent_71450,60.04,11.593,0,58,59
agilent_73243,10.322,12.182,0,995,174
agilent_75130,14.546,7.089,0.025,211,52
agilent_7522,46.465,7.458,0.011,47,37
agilent_7538,37.56,15.654,0,528,336
agilent_75453,17706.757,7.341,0.014,0.1,30
agilent_75832,629.574,7.64,0.007,3,32
agilent_77528,80.271,7.362,0.013,25,34
agilent_79646,14.813,7.983,0.003,255,64
agilent_86177,12.414,10.597,0,542,114
agilent_86382,32.618,7.895,0.004,76,42
agilent_8842,22.51,15.654,0,451,172
agilent_89024,21.879,7.389,0.012,116,43
agilent_90688,26.56,8.052,0.003,100,45
agilent_93129,295.113,9.093,0,8,40
corona2_11424,17.946,7.183,0.02,148,45
corona2_1152,7.261,8.004,0.003,886,109
corona2_13022,10.398,8.885,0,579,102
corona2_13064,7.542,6.933,0.035,720,92
corona2_13121,105.795,15.955,0,53,95
corona2_1730,18887.208,7.755,0.005,0.1,32
corona2_3326,209.858,7.424,0.011,9,32
corona2_4556,7.174,7.412,0.012,831,101
corona2_4568,16.456,9.254,0,269,75
corona2_5074,11.332,11.355,0,724,139
corona2_5675,304.95,7.322,0.014,6,31
corona2_893,16.001,11.584,0,391,106
twist_18083,1770.676,7.304,0.015,1,30
twist_18769,32.421,7.394,0.012,71,39
twist_19468,17116.532,7.133,0.022,0.1,29
twist_25682,86.65,13.802,0,47,69
twist_27514,18.972,11.094,0,280,90
twist_27552,26.276,14.654,0,757,337
twist_28586,12.798,7.503,0.009,309,67
twist_29385,18.839,15.353,0,636,203
twist_30833,8.163,7.152,0.021,658,91
twist_32625,17116.532,7.133,0.022,0.1,29
twist_39975,16.557,9.972,0,303,85
twist_42695,165.263,9.269,0,15,42
twist_46426,14.254,7.787,0.005,265,64
twist_46897,24.197,1000,0,1205,494
twist_47588,1052.568,1000,0,12,214
twist_47589,203.723,1000,0,31,107
twist_47590,70236.803,1000,0,0.1,119
twist_48320,18.243,9.392,0,220,68
twist_49886,20.831,7.148,0.021,119,42
twist_50452,118.045,10.587,0,25,50
twist_54435,43.66,15.955,0,146,108
twist_55740,34823.289,13.211,0,0.1,59
twist_55875,63.941,12.726,0,60,65
