ID,fold_change,neglogp,padj,input,count
agilent_100772,290.026,1000,0,22,132
agilent_101366,45.027,8.176,0.002,73,68
agilent_102644,186100.33,1000,0,0.1,385
agilent_102942,15.052,7.43,0.011,395,123
agilent_103624,34.422,12.247,0,198,141
agilent_103799,20.795,14.273,0,702,302
agilent_10381,17.778,13.959,0,832,306
agilent_104013,47.834,10.778,0,96,95
agilent_104099,23.74,7.741,0.006,169,83
agilent_104204,56.931,6.948,0.034,45,53
agilent_104657,45.999,7.324,0.014,62,59
agilent_105210,48.731,15.654,0,246,248
agilent_105317,4911.115,15.955,0,5,508
agilent_107008,77.34,12.632,0,65,104
agilent_107425,22.897,12.71,0,456,216
agilent_107529,101.638,15.477,0,263,553
agilent_107918,31.005,11.008,0,198,127
agilent_108265,23.21,8.978,0,252,121
agilent_108339,40.837,10.603,0,116,98
agilent_10838,20.459,7.408,0.012,215,91
agilent_108860,50.696,10.088,0,82,86
agilent_10925,14.018,7.955,0.003,500,145
agilent_10959,23.451,8.326,0.001,202,98
agilent_109931,21.909,12.606,0,492,223
agilent_111331,35.743,10.645,0,142,105
agilent_1113,20.78,15.654,0,763,328
agilent_111970,42.189,1000,0,566,494
agilent_112350,22.793,8.731,0.001,246,116
agilent_11266,48.218,1000,0,405,404
agilent_11270,31.372,13.233,0,302,196
agilent_11271,44.509,15.051,0,404,372
agilent_11272,53.016,15.353,0,186,204
agilent_11279,18.294,7.922,0.004,325,123
agilent_112839,42.147,14.808,0,203,177
agilent_113947,24.852,8.316,0.001,177,91
agilent_114476,13.563,7.49,0.01,474,133
agilent_115575,117.158,15.955,0,59,143
agilent_11583,30.253,1000,0,866,542
agilent_116090,47.787,14.955,0,351,347
agilent_116525,28.007,10.584,0,233,135
agilent_1167,19.548,11.653,0,544,220
agilent_11947,99.455,1000,0,800,1646
agilent_11948,70.163,15.051,0,1083,1572
agilent_11949,113.745,15.955,0,320,753
agilent_12000,1208.444,10.986,0,3,75
agilent_12001,741.179,13.017,0,6,92
agilent_12004,15.304,8.86,0,518,164
agilent_12008,24.768,14.169,0,484,248
agilent_12009,28.912,1000,0,744,445
agilent_12010,20.38,6.906,0.038,185,78
agilent_12011,56.285,1000,0,590,687
agilent_12012,54.75,15.654,0,196,222
agilent_12013,87.259,1000,0,154,278
agilent_12015,134.025,1000,0,1091,3025
agilent_12017,142.186,1000,0,342,1006
agilent_12021,62.572,14.808,0,489,633
agilent_12022,17.809,8.618,0.001,380,140
agilent_12023,60.221,14.913,0,541,674
agilent_12024,642.608,15.955,0,17,226
agilent_120272,127.903,1000,0,113,299
agilent_12059,26102.384,8.399,0.001,0.1,54
agilent_121498,39.706,8.064,0.003,84,69
agilent_121814,90.89,1000,0,259,487
agilent_122388,24.282,8.825,0,213,107
agilent_122861,63.639,15.353,0,139,183
agilent_124373,42.519,10.477,0,108,95
agilent_12511,155.036,15.654,0,381,1222
agilent_12512,29.355,14.103,0,1179,716
agilent_12513,34.234,11.342,0,1275,903
agilent_125275,28.675,7.493,0.01,118,70
agilent_12530,23.604,1000,0,684,334
agilent_125554,19.96,7.018,0.029,201,83
agilent_125837,17.549,7.422,0.011,314,114
agilent_126193,24.548,8.517,0.001,191,97
agilent_126429,67.987,15.353,0,123,173
agilent_127557,138.449,15.477,0,162,464
agilent_128153,24.383,15.176,0,565,285
agilent_128870,14.463,6.923,0.036,381,114
agilent_128883,51.148,15.256,0,344,364
agilent_129495,127.333,1000,0,257,677
agilent_129739,19.335,11.529,0,545,218
agilent_130111,18.864,7.162,0.021,246,96
agilent_130500,23.669,7.059,0.027,145,71
agilent_131465,48.828,15,0,197,199
agilent_131703,47.144,9.296,0,81,79
agilent_131885,31.251,1000,0,959,620
agilent_131886,65.567,1000,0,303,411
agilent_131887,51.568,1000,0,853,910
agilent_131888,19.5,1000,0,880,355
agilent_132331,21268.609,7.083,0.025,0.1,44
agilent_133030,24.899,14.808,0,530,273
agilent_133222,254.579,15.955,0,120,632
agilent_134048,35.728,9.206,0,115,85
agilent_134330,47.294,13.909,0,139,136
agilent_134645,79.943,10.83,0,52,86
agilent_135148,171.918,15.955,0,212,754
agilent_135532,14.461,8.899,0,605,181
agilent_136243,45.21,14.778,0,170,159
agilent_137389,37.564,12.279,0,166,129
agilent_137474,99.587,15.477,0,83,171
agilent_1378,21.607,7.873,0.004,217,97
agilent_137979,39.172,15.654,0,385,312
agilent_138082,94.423,15.176,0,279,545
agilent_138243,113.044,1000,0,567,1326
agilent_138817,71.945,8.365,0.001,43,64
agilent_139400,131.999,9.691,0,26,71
agilent_139748,52.869,15.477,0,160,175
agilent_140151,113.304,15.477,0,125,293
agilent_140431,39.476,13.459,0,180,147
agilent_140746,12.256,8.825,0,773,196
agilent_141330,38.624,1000,0,846,676
agilent_142447,36.253,7.085,0.025,80,60
agilent_142983,47.447,1000,0,217,213
agilent_143399,39.45,15.051,0,310,253
agilent_143555,123.53,9.411,0,27,69
agilent_144440,30.904,10.583,0,183,117
agilent_144478,16.382,9.192,0,478,162
agilent_144602,19.952,7.468,0.01,235,97
agilent_145826,27.116,8.742,0.001,164,92
agilent_146635,98.402,15.353,0,112,228
agilent_147114,12.282,9.732,0,858,218
agilent_147336,92.528,15.477,0,874,1673
agilent_148070,18.91,9.707,0,409,160
agilent_148719,22235.364,7.348,0.014,0.1,46
agilent_149368,22.289,7.487,0.01,180,83
agilent_150402,40.604,7.54,0.009,75,63
agilent_150919,21.289,7.375,0.013,193,85
agilent_151891,28.708,10.151,0,197,117
agilent_153298,90.633,8.142,0.002,32,60
agilent_153747,19.551,15.353,0,806,326
agilent_15412,46.854,1000,0,554,537
agilent_1543,29.003,9.4,0,165,99
agilent_154747,32.682,1000,0,494,334
agilent_155342,44.872,1000,0,265,246
agilent_156463,27.723,7.981,0.003,136,78
agilent_156816,35.045,6.848,0.043,80,58
