ID,fold_change,neglogp,padj,input,count
agilent_103388,76.648,1000,0,170,237
agilent_103866,37.255,15.176,0,335,227
agilent_103937,218.145,15.955,0,31,123
agilent_105317,1594.408,1000,0,5,145
agilent_106191,50.616,7.24,0.017,63,58
agilent_106503,23.288,9.062,0,314,133
agilent_107529,149.678,1000,0,263,716
agilent_108274,382.3,15.955,0,43,299
agilent_108512,22.151,9.163,0,345,139
agilent_108967,73.044,1000,0,280,372
agilent_109344,24.114,7.831,0.004,228,100
agilent_11048,112.188,15.955,0,74,151
agilent_11076,126.62,10.461,0,33,76
agilent_111172,142.846,15.176,0,219,569
agilent_112034,9.421,8.805,0,1103,189
agilent_11270,19.662,7.436,0.011,302,108
agilent_11271,15.106,6.881,0.039,404,111
agilent_112839,62.021,15.256,0,203,229
agilent_112878,30.191,8.482,0.001,173,95
agilent_112938,15.851,10.94,0,770,222
agilent_1141,12.992,8.167,0.002,694,164
agilent_1142,14.691,7.496,0.009,494,132
agilent_11464,235.19,15.955,0,54,231
agilent_1147,19.725,8.899,0,393,141
agilent_1148,19.815,11.141,0,591,213
agilent_11512,219.918,1000,0,68,272
agilent_119431,67.374,1000,0,173,212
agilent_11947,26.803,1000,0,800,390
agilent_11948,15.331,14.311,0,1083,302
agilent_11949,25.6,10.098,0,320,149
agilent_12000,2492.407,15.955,0,3,136
agilent_12001,2116.713,15.955,0,6,231
agilent_12004,62.197,15.477,0,518,586
agilent_12005,98.727,15.955,0,93,167
agilent_12006,169.033,15.654,0,94,289
agilent_12008,17.834,9.064,0,484,157
agilent_12009,11.971,7.963,0.003,744,162
agilent_12011,292.696,15.955,0,590,3141
agilent_12012,237.029,15.955,0,196,845
agilent_12013,321.666,15.955,0,154,901
agilent_12014,6.553,7.797,0.005,1485,177
agilent_12018,837.889,15.654,0,75,1143
agilent_12019,872.956,1000,0,221,3509
agilent_12020,542.445,15.477,0,374,3690
agilent_12024,1374.489,1000,0,17,425
agilent_120949,16.494,9.337,0,600,180
agilent_121077,29.519,7.609,0.007,149,80
agilent_121270,19.801,6.879,0.039,261,94
agilent_122449,13.471,8.065,0.003,653,160
agilent_123277,14.082,9.305,0,734,188
agilent_12387,12.456,7.323,0.014,640,145
agilent_124605,18.481,1000,0,1065,358
agilent_124803,33.172,9.506,0,179,108
agilent_125586,67.094,9.075,0,59,72
agilent_125849,33.559,11.017,0,231,141
agilent_126653,292.003,1000,0,45,239
agilent_126735,44.578,13.009,0,185,150
agilent_128068,25.443,7.462,0.01,188,87
agilent_129,16.184,15.477,0,1403,413
agilent_129495,209.864,15.353,0,257,981
agilent_130807,12.388,7.016,0.028,608,137
agilent_13153,9.479,6.939,0.034,841,145
agilent_132988,47.482,15.477,0,396,342
agilent_133222,496.191,15.654,0,120,1083
agilent_135148,80.654,15.477,0,212,311
agilent_13589,60.528,12.826,0,109,120
agilent_137474,305.368,15.955,0,83,461
agilent_140151,45.743,10.617,0,125,104
agilent_142643,56.914,1000,0,199,206
agilent_142983,35.217,11.19,0,217,139
agilent_144546,108.5,15.477,0,113,223
agilent_1463,31.744,8.778,0,168,97
agilent_146603,45.284,15.654,0,947,780
agilent_147318,95.491,15.955,0,266,462
agilent_147336,43.405,1000,0,874,690
agilent_148480,751.387,6.83,0.044,3,41
agilent_149878,1841.816,10.532,0,2,67
agilent_149908,75.834,15.353,0,174,240
agilent_149978,40.393,12.164,0,196,144
agilent_15071,2584.04,7.773,0.005,1,47
agilent_150745,2693.999,8.057,0.003,1,49
agilent_15204,25.834,7.072,0.025,166,78
agilent_153171,59.692,9.221,0,70,76
agilent_15551,27.598,9.535,0,255,128
agilent_157748,102.698,12.603,0,53,99
agilent_158347,19.623,7.777,0.005,325,116
agilent_158436,2419.101,13.424,0,2,88
agilent_158478,10.907,14.699,0,1729,343
agilent_158483,134.252,13.759,0,43,105
