ID,fold_change,neglogp,padj,input,count
agilent_100611,28.81,8.249,0.002,100,27
agilent_101,15.025,14.593,0,909,128
agilent_101325,31.065,7.82,0.004,79,23
agilent_101625,29.101,11.218,0,165,45
agilent_101650,6.516,7.413,0.011,1310,80
agilent_101967,70.587,1000,0,130,86
agilent_102173,29.272,9.018,0,113,31
agilent_102602,38.609,14.492,0,152,55
agilent_102692,17.886,10.273,0,346,58
agilent_103474,20.863,8.153,0.002,179,35
agilent_103514,18.479,7.106,0.022,179,31
agilent_103765,9603.171,7.41,0.011,0.1,9
agilent_104274,34.382,9.434,0,90,29
agilent_104610,84.238,9.007,0,19,15
agilent_105064,24.954,12.158,0,248,58
agilent_105451,50.354,14.148,0,89,42
agilent_105624,44.746,12.787,0,93,39
agilent_105849,96.292,1000,0,41,37
agilent_106166,28.793,9.444,0,126,34
agilent_106305,29.814,10.267,0,136,38
agilent_106309,165.201,15.955,0,228,353
agilent_107529,126.176,15.955,0,263,311
agilent_107858,27.308,12.137,0,211,54
agilent_108161,36.202,7.555,0.008,56,19
agilent_1088,53.858,15.353,0,737,372
agilent_10950,85.362,1000,0,45,36
agilent_10959,38.561,1000,0,202,73
agilent_109730,21.806,13.224,0,367,75
agilent_110313,17.561,12.658,0,559,92
agilent_11048,44.699,11.231,0,74,31
agilent_11058,10.041,7.193,0.018,627,59
agilent_110861,34.49,9.998,0,99,32
agilent_111172,25.336,11.441,0,219,52
agilent_111344,19.836,10.865,0,312,58
agilent_11270,32.152,15.256,0,302,91
agilent_11271,41.73,15.654,0,404,158
agilent_11272,43.025,1000,0,186,75
agilent_112787,15.173,11.767,0,654,93
agilent_112839,88.305,15.477,0,203,168
agilent_113493,22.599,13.865,0,373,79
agilent_113617,9.711,9.008,0,912,83
agilent_11464,94.846,15.955,0,54,48
agilent_114770,20.748,7.102,0.022,144,28
agilent_11594,16.82,6.891,0.036,203,32
agilent_116140,15.271,10.661,0,538,77
agilent_116269,17.822,11.895,0,467,78
agilent_116525,24.271,11.342,0,233,53
agilent_1167,210.658,15.256,0,544,1074
agilent_1169,34.691,15.176,0,406,132
agilent_117039,15.626,7.009,0.027,239,35
agilent_117057,18.073,9.691,0,307,52
agilent_118593,59.279,14.955,0,72,40
agilent_118899,13.374,7.611,0.007,367,46
agilent_119064,33.164,12.119,0,148,46
agilent_11947,80.56,15.051,0,800,604
agilent_11948,60.1,14.955,0,1083,610
agilent_11949,94.698,15.955,0,320,284
agilent_119918,21.776,9.039,0,196,40
agilent_12000,782.481,15.955,0,3,22
agilent_12001,586.86,15.955,0,6,33
agilent_12004,40.168,15.176,0,518,195
agilent_12005,48.188,13.841,0,93,42
agilent_12008,31.526,15.176,0,484,143
agilent_120090,34.761,15.353,0,353,115
agilent_12009,49.048,15.176,0,744,342
agilent_12010,35.76,14.913,0,185,62
agilent_12011,174.159,1000,0,590,963
agilent_12012,137.733,1000,0,196,253
agilent_12013,212.711,15.955,0,154,307
agilent_12014,22.418,1000,0,1485,312
agilent_12015,208.318,15.353,0,1091,2130
agilent_12016,150.725,14.913,0,2099,2965
agilent_12017,173.469,15.654,0,342,556
agilent_12018,291.652,15.955,0,75,205
agilent_12019,279.549,15.654,0,221,579
agilent_12020,233.089,15.353,0,374,817
agilent_12021,116.085,15.654,0,489,532
agilent_12022,34.257,15.955,0,380,122
agilent_12023,81.851,15.109,0,541,415
agilent_12024,451.914,15.955,0,17,72
agilent_120272,67.043,1000,0,113,71
agilent_121283,21.492,13.955,0,422,85
agilent_121687,42.164,14.129,0,124,49
agilent_121832,236.268,15.955,0,42,93
agilent_122312,12.888,7.162,0.019,356,43
agilent_122789,29.824,11.355,0,161,45
agilent_12387,12.838,9.644,0,640,77
agilent_124127,63.231,8.6,0.001,27,16
agilent_124269,41.054,15.109,0,2191,843
agilent_125493,27.113,8.67,0.001,122,31
agilent_125554,16.987,6.928,0.033,201,32
agilent_125883,28.454,6.873,0.037,75,20
agilent_126193,32.96,14.005,0,191,59
agilent_12632,26.675,11.728,0,208,52
agilent_126335,39.064,15.353,0,295,108
agilent_126599,18.024,11.777,0,444,75
agilent_126905,30.287,14.264,0,229,65
agilent_126946,34.362,11.021,0,118,38
agilent_127178,153.033,15.955,0,228,327
agilent_127282,16.911,8.199,0.002,265,42
agilent_127484,14.893,10.62,0,566,79
agilent_127557,67.841,15.955,0,162,103
agilent_128541,87.872,8.617,0.001,17,14
agilent_128659,101.706,1000,0,299,285
agilent_129345,18.085,6.886,0.036,177,30
agilent_129359,76.995,15.955,0,352,254
agilent_129495,69.751,15.654,0,257,168
agilent_129840,26.802,11.892,0,211,53
agilent_129853,10.146,7.31,0.014,631,60
agilent_130329,89.63,11.924,0,25,21
agilent_131255,17.149,8.625,0.001,280,45
agilent_131312,27.816,15.109,0,491,128
agilent_13150,7.703,9.32,0,1399,101
agilent_131885,7.566,7.015,0.027,959,68
agilent_131887,9.257,8.107,0.002,853,74
agilent_132997,22.282,15.051,0,1609,336
agilent_133116,105.298,1000,0,152,150
agilent_133222,184.95,15.955,0,120,208
agilent_133367,23.888,10.174,0,201,45
agilent_13336,28.971,1000,0,2998,814
agilent_133557,40.648,10.887,0,84,32
agilent_13363,12.772,7.573,0.007,401,48
agilent_133689,35.567,11.042,0,111,37
agilent_133816,78.248,15.955,0,75,55
agilent_133880,40.04,15.955,0,501,188
agilent_134649,65.076,15.955,0,182,111
agilent_135148,105.192,1000,0,212,209
agilent_135844,65.398,15.955,0,93,57
agilent_13604,13.176,8.687,0.001,494,61
agilent_136714,42.342,9.647,0,63,25
agilent_137118,156.496,14.612,0,15,22
agilent_137132,48.905,9.583,0,48,22
agilent_137474,132.413,1000,0,83,103
agilent_1379,10.649,6.832,0.041,501,50
agilent_139092,15.736,15,0,990,146
agilent_139366,65.161,15.955,0,262,160
agilent_140424,14.805,10.789,0,591,82
agilent_140741,20.187,8.015,0.003,185,35
agilent_141101,15.298,7.546,0.008,279,40
agilent_14125,19.537,8.422,0.001,213,39
agilent_141375,43.936,15.955,0,170,70
agilent_141818,22.616,9.074,0,184,39
agilent_141846,115.594,8.659,0.001,12,13
agilent_141966,15.793,7.794,0.004,277,41
agilent_142983,17.702,7.616,0.007,217,36
agilent_144493,14.031,7.526,0.008,327,43
agilent_144773,50.456,1000,0,258,122
agilent_145258,21.611,7.867,0.004,158,32
agilent_146655,24.719,1000,0,600,139
agilent_147336,25.394,1000,0,874,208
agilent_148204,16.118,8.898,0,331,50
agilent_148206,19.425,12.188,0,401,73
agilent_148254,20.374,11.13,0,309,59
agilent_149426,42.438,11.71,0,88,35
agilent_149908,72.361,1000,0,174,118
agilent_149980,37.608,12.386,0,122,43
agilent_150348,71.513,1000,0,94,63
agilent_150432,14.728,8.353,0.001,355,49
agilent_150721,25.573,15,0,363,87
agilent_150849,49.794,12.712,0,75,35
agilent_151512,22.451,15.477,0,461,97
agilent_151826,59.426,15.353,0,483,269
agilent_151860,12.717,6.911,0.034,344,41
agilent_151927,14.533,10.263,0,558,76
agilent_152278,16.282,8.622,0.001,308,47
agilent_152363,35.866,15.654,0,238,80
agilent_152493,48.83,10.844,0,59,27
agilent_153209,26.045,8.494,0.001,127,31
agilent_153298,86.695,13.704,0,32,26
agilent_153443,181.878,1000,0,44,75
agilent_153548,11.292,7.05,0.025,463,49
agilent_153959,18.43,8.043,0.003,220,38
agilent_154349,21.785,10.251,0,240,49
agilent_1543,54.321,15.955,0,165,84
agilent_154717,23.463,9.668,0,191,42
agilent_154835,19.872,9.418,0,247,46
agilent_155517,37.723,11.022,0,99,35
agilent_156142,26.675,9.713,0,152,38
agilent_156933,20.632,14.507,0,512,99
agilent_157627,155.591,1000,0,275,401
agilent_157953,126.335,1000,0,125,148
agilent_1583,175.681,15.955,0,99,163
agilent_1584,270.07,1000,0,177,448
agilent_161199,6.254,7.423,0.01,1416,83
agilent_16154,41.87,10.858,0,79,31
agilent_161715,14.522,9.813,0,507,69
agilent_161799,79.459,15.955,0,141,105
agilent_161922,37.114,15.353,0,506,176
agilent_16209,90.599,15.654,0,709,602
agilent_162437,6.203,6.872,0.037,1273,74
agilent_162642,8.18,11.675,0,2100,161
agilent_163447,92.475,14.051,0,30,26
agilent_164609,8.97,13.032,0,2510,211
agilent_164632,10.457,7.354,0.012,602,59
agilent_164699,7.936,10.454,0,3415,254
agilent_164740,22.674,10.717,0,240,51
agilent_164749,13.768,14.75,0,1054,136
agilent_165122,180.572,15.109,0,13,22
agilent_166835,11.856,10.839,0,864,96
agilent_166869,77.202,15.477,0,340,246
agilent_167401,168.738,1000,0,43,68
agilent_16777,48.74,12.972,0,81,37
agilent_1683,19.273,14.492,0,609,110
agilent_168466,28.378,15.051,0,282,75
agilent_168472,35.003,14.778,0,189,62
agilent_168832,13.787,13.416,0,921,119
agilent_169026,54.43,15.654,0,445,227
agilent_169710,42.483,13.16,0,108,43
agilent_171016,27.663,14.311,0,270,70
agilent_171144,81.138,15.654,0,192,146
agilent_171523,13.396,8.517,0.001,454,57
agilent_171598,79.133,15.353,0,209,155
agilent_171657,15.628,11.485,0,594,87
agilent_171770,56.696,15.256,0,606,322
agilent_172814,23.944,1000,0,918,206
agilent_172984,14.658,9.812,0,495,68
agilent_173305,21.992,10.947,0,262,54
agilent_173488,8.636,12.537,0,2397,194
agilent_173862,8.159,11.732,0,2707,207
agilent_17390,28.023,7.952,0.003,99,26
agilent_17442,8.383,7.466,0.009,891,70
agilent_174704,10.834,10.72,0,975,99
