ID,fold_change,neglogp,padj,input,count
agilent_101190,54.984,10.705,0,77,80
agilent_101196,28.026,14.841,0,406,215
agilent_101936,21.717,8.778,0,251,103
agilent_102435,18.39,9.177,0,377,131
agilent_102473,28.79,8.006,0.003,125,68
agilent_103233,125.723,15.353,0,205,487
agilent_103293,23.932,10.057,0,272,123
agilent_103569,42.454,9.429,0,91,73
agilent_103801,70.994,8.26,0.002,41,55
agilent_104068,196.037,15.654,0,71,263
agilent_104111,11.772,6.779,0.049,499,111
agilent_104120,24.16,9.415,0,230,105
agilent_104186,70.955,15.955,0,135,181
agilent_10447,21.637,7.472,0.01,181,74
agilent_104856,145.787,15.654,0,53,146
agilent_105317,4265.559,15.955,0,5,403
agilent_107268,58.651,15.353,0,194,215
agilent_107278,78.163,13.169,0,65,96
agilent_107525,19.498,8.327,0.001,285,105
agilent_107529,110.876,15.353,0,263,551
agilent_107650,17.436,7.077,0.025,258,85
agilent_107727,16.775,6.88,0.039,265,84
agilent_108088,106.668,1000,0,193,389
agilent_108346,28.06,12.355,0,298,158
agilent_108485,40.383,15.955,0,249,190
agilent_1088,123.007,1000,0,737,1713
agilent_108909,9.033,7.976,0.003,996,170
agilent_10960,12.655,14.411,0,1288,308
agilent_110104,24.714,9.278,0,212,99
agilent_110337,22.173,1000,0,1117,468
agilent_11048,200.963,15.955,0,74,281
agilent_11081,40.895,15.654,0,264,204
agilent_110850,14.442,1000,0,1180,322
agilent_110974,17.572,12.687,0,768,255
agilent_112676,64.263,7.669,0.006,42,51
agilent_11270,17.875,7.833,0.004,302,102
agilent_11271,16.899,8.782,0,404,129
agilent_11275,21.5,7.655,0.007,192,78
agilent_11277,14.581,7.383,0.012,392,108
agilent_11278,6.675,8.024,0.003,1443,182
agilent_112839,40.93,14.913,0,203,157
agilent_112869,16.538,9.325,0,464,145
agilent_113148,123.642,15.477,0,113,264
agilent_113801,80.995,15.353,0,230,352
agilent_114473,102.537,9.495,0,32,62
agilent_115273,19.846,11.739,0,504,189
agilent_115718,126.889,15.256,0,254,609
agilent_116258,30.745,7.586,0.008,105,61
agilent_11658,23.48,7.061,0.026,142,63
agilent_117669,112.934,15.654,0,321,685
agilent_118426,41.342,15.256,0,914,714
agilent_118518,28.299,1000,0,576,308
agilent_118861,11.656,8.527,0.001,790,174
agilent_118908,61.611,15.109,0,402,468
agilent_119064,249.237,15.353,0,148,697
agilent_119265,22.042,1000,0,1479,616
agilent_119955,16.528,7.408,0.011,317,99
agilent_12000,846.761,8.361,0.001,3,48
agilent_12001,1102.554,1000,0,6,125
agilent_12004,20.127,12.063,0,518,197
agilent_12005,36.42,8.231,0.002,93,64
agilent_12006,73.754,15.477,0,94,131
agilent_120106,40.063,10.018,0,107,81
agilent_12011,43.863,1000,0,590,489
agilent_12012,35.102,12.745,0,196,130
agilent_12013,44.675,14.169,0,154,130
agilent_12015,115.353,1000,0,1091,2378
agilent_12016,101.937,15.353,0,2099,4043
agilent_12017,95.477,15.353,0,342,617
agilent_12018,177.114,15.955,0,75,251
agilent_12019,142.005,15.256,0,221,593
agilent_12020,107.826,15.477,0,374,762
agilent_12021,14.611,8.427,0.001,489,135
agilent_12023,25.043,15,0,541,256
agilent_12024,551.017,1000,0,17,177
agilent_12055,14.359,15.256,0,1161,315
agilent_12058,67.676,15.051,0,391,500
agilent_120719,28.652,9.198,0,157,85
agilent_121036,23.293,10.417,0,309,136
agilent_121299,24.056,7.271,0.016,143,65
agilent_121339,13.629,8.161,0.002,532,137
agilent_121498,73.084,15,0,84,116
agilent_121687,29.876,8.267,0.002,124,70
agilent_122038,25.393,9.768,0,223,107
